"","ret","mvf","pst","jgw","hfn","dgm","cel","acc","app","aut","bar","cbs","eap","ent","gro"
"1",0.0725093505610279,0.0797541949752989,0.0846089032439281,0.926210548156805,0.0566238831693038,0.0963539061718512,0.215842328466018,0.112649877209034,0.0736616234366141,0.188074755265502,0.0786815399201701,-0.0461033465242321,0.102884150325414,-0.0704546031638575,0.0585123966942152
"2",0.0656634504735782,-0.122776226565616,0.0680884789970428,0.00723505622957066,0.310896716775111,0.0343455743879471,0.137038881093557,0.155341512286002,0.0255169814030329,0.173776568712444,0.0887130536716034,0.0291696597854341,0.0977781981257728,-0.0860499694888734,0.0357186644325465
"3",0.124407594191336,-0.00724543925475474,0.0197052802650293,0.22104707080499,-0.0654332552693213,0.0830381552359443,0.31165583227313,-0.0144011666767941,0.137135332252837,0.276563073739024,0.11368556490483,0.0466947648624654,0.203618819927591,0.00073745657446711,0.238898879513073
"4",0.026294570485234,-0.0544496145727649,0.0280727072810361,0.333331711565312,-0.0534081463009142,0.0173373772124392,0.154483983226185,-0.0300018210513567,0.0287211917600669,0.162460097258273,0.0490172682060779,-0.0383264059521862,0.0451041651459196,-0.0269359727906455,0.0586020525900288
"5",0.0243646638699146,-0.0211023050396308,0.183467486660034,0.00304313471240114,0.295662533167272,0.0243158972449748,0.0235635772700218,-0.0441906993374035,-0.0328282828282837,0.196941235402772,0.0497205434634416,0.0258297506448804,0.0256184203702743,0.030181890865479,0.0778087355568307
"6",0.0260184169578883,0.026785110669425,0.024173143782878,0.167023627017764,0.238353023596471,0.0592969707211966,-0.0506354009077149,-0.167759913197873,-0.0154776909503427,0.214867475465576,0.11979248700583,0.00301011004351803,0.0608275152068773,-0.0153081206259505,0.0315261476967688
"7",0.0245098039215634,0.0488835769000935,0.108467576636348,0.646932590141093,0.14049546710622,0.0444979851175868,0.122697667903913,-0.33445418711286,0.0280824180012034,0.203694434128308,0.0777146382040155,-0.0205511652376358,0.0498643810350416,0.0361944647103978,0.103753291920471
"8",0.0179238363417171,0.108568592169755,-0.0759743541153439,0.297402952433024,0.140266021765418,0.131965603629223,0.000941202970018873,-0.329783293202445,0.11290149736476,0.210464750078735,0.175808434065205,0.00551650502714218,0.0906689559532452,-0.0297409506369725,0.0412982782689615
"9",0.0235616303167918,0.139695797002054,0.0629097382017085,0.294505505862415,0.715750069969215,0.116107598328153,-0.0159815517130576,-0.378007898992059,-0.00553930138794823,0.16585440848643,0.181288149664609,0.0347448545577063,0.0588446332345571,0.0279085570062587,0.280818455690572
"10",-0.060027239809984,0.238848326926554,0.220947277169206,0.0523073821372875,0.194021278341493,-0.00332792720685815,0.0663927920384488,-0.493947299765196,-0.264770420532715,0.104442250740371,-0.150396397241638,-0.0988308194730876,-0.168628100602111,-0.237540783213586,0.704383343295481
"11",-0.486889615521702,-0.112781753728847,0.109389978545021,-0.161789506008148,0.195725036362486,-0.23893645242976,-0.583026356865719,-0.882801878332642,-0.76691547696693,-0.204883894255359,-0.736944343001888,-0.55618278687628,-0.740848722616704,-0.480030588480657,0.622152683234109
"12",-0.640879752120942,-0.496134329333364,0.110803283278561,-0.572281847166094,-0.879025066878034,-0.315327054828328,-0.694038750571784,-0.926749021903207,-0.804686878332139,-0.435754509333104,-0.988482861883372,-0.639679307440536,-0.847090540286571,-0.572713159229599,0.221146213684712
"13",-0.636958847550592,-0.493967034725556,0.201091739082608,-1,-1,-0.250516160154366,-0.783367702748304,-0.93788254208917,-0.820250723240115,-0.468038713670767,-1,-0.58952197257989,-0.853123606703559,-0.672004676527371,0.340674217290166
"14",-0.64320299816191,-0.577584972312392,0.379681737367203,-1,-1,-0.208484542684701,-0.826450038975662,-0.964212327294925,-0.86872473252384,-0.453008403840942,-1,-0.714738477896373,-0.85685594531211,-0.737922489158119,0.441693527655282
"15",-0.666154717248213,-0.526944461050994,0.316142756529117,-1,-1,-0.311329765187148,-0.798339761189704,-0.915039530560595,-0.905082938162981,-0.445922022888528,-0.993111435318182,-0.523168848061133,-0.848105351880302,-0.731316582472451,0.274538367652271
"16",-0.622469384478404,-0.423525611113104,0.38961692823338,-1,-1,-0.197331153648754,-0.8604627188784,-0.929885809505311,-0.863867684478371,-0.468487228826741,-1,-0.544335755936788,-0.834377686916611,-0.674770608332606,0.492363097129535
"17",-0.628393346083463,-0.45108100252644,0.119196461663906,-1,-0.774884819846426,-0.201797038214795,-0.807615650896884,-0.929173093885468,-0.87354928359246,-0.45227892481496,-0.832286649351484,-0.584094777827779,-0.827142612691894,-0.667883263610234,0.352076006916784
"18",-0.613377578705253,-0.322762388005118,0.192867644188852,-0.931094359302588,-0.953315664513279,-0.193766539253161,-0.714363647808419,-0.975513346580987,-0.832758938575217,-0.421212554050718,-0.693748019376159,-0.503516558552407,-0.812500398813132,-0.608125513116965,0.357644411684835
"19",-0.630104748603353,-0.228508186179945,0.697136182730575,-0.92624317629947,-0.381465125340953,-0.235472890833941,-0.804818583092762,-0.914731288470491,-0.8393438955155,-0.397159299942186,-0.756819090901353,-0.675824600750164,-0.82059684511182,-0.212263017356477,0.305804065056996
"20",-0.612426928671406,-0.0938277634363599,0.736211559945903,-0.895346697794986,-0.32872090540252,-0.239806092278072,-0.824933123858859,-0.902513071954551,-0.822921796513346,-0.361754212349283,-0.832417642076918,-0.694562408148786,-0.813750935862241,-0.467108646402313,0.349722632398132
"21",-0.613609934678056,-0.139918559254437,0.365316604917481,-0.753314058372527,-0.226422712397467,-0.296824984860281,-0.696862192058526,-0.933218061456378,-0.835138819617623,-0.285343049635638,-0.885249652941984,-0.196569934425214,-0.810461580983969,-0.564714650914942,0.245195365961795
"22",-0.637190352700701,-0.128105781717883,0.073272181362422,-0.602742596282873,-0.280277614157297,-0.361145341274731,-0.843478042995306,-0.930940936274194,-0.865434482758621,-0.342080122285205,-0.886970108473357,-0.163967369677674,-0.803123929400718,-0.48976844924536,0.134224892973567
"23",-0.604890129054761,-0.0433148989632135,0.0441022475501789,-0.465441717119568,0.275392031916662,-0.256410256410256,-0.783294931800483,-0.950039869578468,-0.784500438434391,-0.327211269053803,-0.71372314670099,-0.0960375249417579,-0.748095950752228,-0.509949172245839,0.0748639652388834
"24",-0.533115868064726,0.0619033606026709,0.0818215315256714,-0.32958820845279,0.36838654360216,0.0736689362652074,-0.590869719818745,-0.920823225536222,-0.573800185513851,-0.223094478662557,-0.380827519618328,-0.194280726974023,-0.677649013917828,-0.419324938394414,0.130995017907522
"25",-0.534651426217691,-0.0638479207591468,0.196688633005791,-0.367145235546258,0.0583655751627816,-0.0301361283548541,-0.235291989617342,-0.925901074833205,-0.481638915084383,-0.253200531901025,-0.411379167138597,-0.17749950504851,-0.676620374497114,-0.327841080674979,0.0901109620777951
"26",-0.426440877491609,-0.0907003309113593,0.330144777662875,0.34454242223205,0.0195976880528685,0.0073713540013407,-0.107946805060007,-0.880119510998707,-0.403344125539609,-0.210458986434248,-0.32324087075387,-0.11010285858522,-0.61671667261143,-0.449003943604758,0.149989515221991
"27",-0.460015076222745,0.0991218897921118,0.0925636158423968,0.264290223884222,-0.114577561492688,0.05593502299638,-0.0768232163737305,-0.904355926664749,-0.327807314449063,-0.23333246961884,-0.323514893617023,-0.232147845227319,-0.594159523269921,-0.604588357433179,0.112512979252787
"28",-0.482088843867987,0.120499582155165,0.21051100955546,-0.0156004722591941,-0.176868418799761,0.00962829849616864,0.0947911321856376,-0.907704836254642,-0.36412148313769,-0.264515888129642,-0.260786169788762,-0.252883084470073,-0.613785153582549,-0.512961545819782,0.0926144362847683
"29",-0.475906579113879,0.0366795366795403,0.469723475431972,0.487862919837811,-0.247471098265895,-0.0334411085450349,0.00553164767375103,-0.88751312453584,-0.313306651077035,-0.229793162307344,-0.282738689254892,-0.262094154979819,-0.616164955522496,-0.523590967505048,0.11078083914485
"30",-0.447513274582302,-0.0503025637736043,0.156047447031997,0.253017857805216,-0.0357167062012872,-0.0500196085421937,0.0735410886186605,-0.895898013454893,-0.298425709283047,-0.204800452733626,-0.251572167990154,-0.237183883411916,-0.583924696677975,-0.450559354244629,0.143546194387024
"31",-0.466897404889983,0.0269935351126436,-0.072868687104261,0.0342313494614848,0.114309929284636,-0.0130064937530864,-0.297134784336234,-0.876382989068695,-0.398018540796832,-0.206213497936078,-0.250161202528994,-0.252196260174839,-0.600373188581398,-0.428737898231549,0.171874396508439
"32",-0.449422539432507,0.0396946747258449,0.191257772720484,0.220273957295442,-0.249235015299693,-0.0632752717543831,0.0412024126874968,-0.862481367515407,-0.373532377601172,-0.179262023433623,-0.31755794881317,-0.213590656694123,-0.578434127529819,-0.509630460737352,0.161350733322821
"33",-0.433890095801131,0.0590927012270135,0.204461505989124,0.403868933678642,-0.131863601562654,-0.138270128403183,-0.212388356256873,-0.870553729068619,-0.365113246396705,-0.225236585024139,-0.216764909847433,-0.230418606675076,-0.537845208614153,-0.59196266980659,0.154706466886192
"34",-0.418192805346225,0.0196875410841852,0.105862624094445,0.241415825146396,0.170641731779173,-0.14283068738531,-0.237570330257225,-0.854684174044706,-0.354468700178043,-0.209590427508103,-0.163944740084409,-0.224427895852588,-0.509212012620263,-0.521940866636305,0.155046885720821
"35",-0.407827154979901,0.0718728074869515,0.282061810517094,0.177544230994446,0.186137038152178,-0.00509290897848991,-0.373598514197166,-0.848353569058501,-0.357776132496314,-0.188914767225813,-0.265142520118892,-0.239382657257891,-0.545361051935649,-0.496469232955821,0.164120642381512
"36",-0.430639112293221,-0.0793001719954874,0.128694732224645,0.189097064735893,-0.189078389619693,-0.0317509727626466,-0.552274924169194,-0.875705650847649,-0.285042464102332,-0.235142915895539,-0.241262569398606,-0.284003600812277,-0.538439807141782,-0.441480071261396,0.15648564914947
"37",-0.437248530936746,-0.0481224571466705,0.253004946308207,0.134736522100668,-0.0782739845088063,-0.0150350993608773,-0.150404109655182,-0.89239413562747,-0.332678573751515,-0.240845177279855,-0.243050302571859,-0.240113355493054,-0.555011662072515,-0.491712572117734,0.185708910145961
"38",-0.423607989661757,-0.150464723977109,0.122466759596825,-0.018945435622327,0.165918809058755,-0.000199311469467944,-0.471028586936858,-0.897233702991366,-0.205689670002006,-0.221185531216464,-0.290315013159148,-0.189378241182338,-0.528898213318896,-0.546292414007298,0.156546929316338
"39",-0.431286156805615,-0.141550780832438,0.297321653391999,-0.268502708975467,0.061381756126176,-0.131829877402755,-0.566170712607673,-0.883960597462391,-0.301718650541059,-0.258945025044834,-0.268269815944866,-0.223629433539467,-0.520728210085385,-0.541572690365672,0.137246842537928
"40",-0.419963717732432,-0.0266463316346143,0.246823610210226,0.0862769116061068,-0.0602539589155272,-0.0588597355092857,-0.494162482608432,-0.874318073201742,-0.288922794450407,-0.248923816197818,-0.259058850734189,-0.222870035294643,-0.523748844414461,-0.555402226752391,0.168196298543688
"41",-0.443601230047522,-0.0329937459945615,0.2530563814044,-0.0578060903264159,0.185994921822799,-0.143120009453551,-0.582605191224913,-0.860501446314687,-0.328954370691045,-0.280514267795546,-0.336311712233635,-0.256876327502109,-0.532398472835471,-0.517256598806736,0.135233541743288
"42",-0.452867917438335,-0.0095611118342448,0.088133434796791,0.353793037306992,-0.0376266628247607,-0.135243858412556,-0.555816906852189,-0.886971946399306,-0.338010571840462,-0.283555683067947,-0.258625185317628,-0.251119826828696,-0.540122352499544,-0.584142147774942,0.160436720476423
"43",-0.441183418398389,-0.257756446599285,-0.0530281886687133,0.0553752454221272,-0.0382768294422519,-0.0951763807765379,-0.618761150583743,-0.864766075046449,-0.331586732344449,-0.244453537588069,-0.285824537144972,-0.257308188860202,-0.581797895878115,-0.60309657004012,0.184943741598071
"44",-0.448903815114248,-0.0481983902777051,-0.0908147447518433,-0.327355764749742,0.489093692199757,-0.148421897137395,-0.640770337133559,-0.883741976804088,-0.374022862344062,-0.276905691895741,-0.257190144330232,-0.322888057972931,-0.563167356548331,-0.500916992265371,0.177530877711492
"45",-0.46787761007717,-0.042969571004882,-0.217269103287648,-0.249704211327828,-0.25002040150155,-0.168771734138181,-0.49268056552438,-0.889898995322963,-0.391191596249133,-0.3032719683983,-0.326476838689299,-0.27105456272123,-0.605180538428085,-0.604417470898419,0.122606984570682
"46",-0.432783378028033,-0.0830572617630093,-0.303729882038302,0.0849181964820651,-0.0129267882457527,-0.0568560717309057,-0.490213098639318,-0.889244006016102,-0.321953413314638,-0.295220891324379,-0.362759973510156,-0.263598326359833,-0.590015108630393,-0.645234690896792,0.164716602879534
"47",-0.382257217847771,-0.237850759861118,0.301815470513775,0.387922082272547,0.0700676395530349,0.118292197452229,0.158213409014171,-0.823419571083123,-0.206864768193699,-0.316521670461577,-0.323233678721708,-0.303876175700571,-0.598353780759991,-0.606088133966372,0.200252844500633
"48",-0.449067946791089,-0.0132950752206275,0.454635682714442,0.43879075001563,0.0756809778917975,-0.0966964955097223,-0.444799460426515,-0.905718560480601,-0.339912540713206,-0.282438371870818,-0.438194085885062,-0.293694702654274,-0.645472752615127,-0.655535795743781,0.173002658593856
"49",-0.464512176007067,-0.0458934997494661,0.00531386060543948,0.0300729761532079,0.0369445705351299,-0.0889395667046758,-0.497201353917281,-0.90333981374808,-0.239539407548598,-0.298028877838359,-0.443065766275241,-0.342540113355151,-0.652753786456378,-0.727872241827968,0.0922325590032127
"50",-0.464591682639251,-0.0685304099998861,0.0882051058068176,0.187177652197518,-0.203391363328058,-0.179197848456502,-0.699856814499416,-0.842830221824744,-0.305032253549056,-0.303785746487798,-0.464888866505507,-0.348336086415857,-0.674479277010709,-0.736283843089595,0.0849614140355317
"51",-0.373509627362355,-0.105641245167418,0.167897908123234,0.340606152434584,0.348548114620853,0.084215660373524,-0.561240492946978,-0.785361697862637,-0.145437857749719,-0.183386649282129,-0.333770979671326,-0.131545086917701,-0.632001713612509,-0.783196703206548,0.293540201228741
"52",-0.403859154224286,0.00385635630056735,0.487214203958576,0.127574844283705,0.119718133259772,-0.0334812910482225,-0.694599509674153,-0.78303536345776,-0.193940306372087,-0.201725749842904,-0.28920059004684,-0.223611016660998,-0.586700135740742,-0.668366269202474,0.0448613685365218
"53",-0.361073331066533,-0.0206206047121484,0.313242522117688,0.804360355652557,0.135402966120911,0.0744223266980097,-0.539144148192938,-0.830895170221987,-0.214328998738367,-0.107901762712923,-0.349841396181804,-0.316009790241781,-0.57542150681793,-0.67584449880234,0.152913223140497
"54",-0.393423032663538,-0.155233916462473,0.372966352042654,0.0447177441692956,0.35098347169247,0.0273069679849332,-0.442818992441045,-0.837496045277182,-0.183950240539956,-0.114585513138621,-0.290620028468561,-0.266377757103996,-0.569905185255242,-0.640733642168954,0.180289345702725
"55",-0.326846549087766,0.0619485056281537,0.421702373697124,0.955439855786775,0.159578454332552,0.0394389635088555,-0.528128757907946,-0.805649354595092,-0.0843901944894614,0.0199953266348425,-0.147036598317131,-0.247547569752539,-0.523464710485805,-0.673599943135879,0.367270715174991
"56",-0.400410799616363,-0.0872313379747849,0.458251726626117,0.256834535874319,0.101944213540224,-0.106219727490835,-0.523658530785024,-0.840885637974991,-0.228132087368136,-0.0362033473552308,-0.222606172262045,-0.289480331595747,-0.601865775143436,-0.635793485514879,0.197890730956864
"57",-0.327488472072945,0.0471413878637521,0.407524645021258,-0.0495127337561027,0.889505604591977,0.00358339538346986,-0.592181587005425,-0.852403520649966,-0.284072999498534,-0.0353307660999967,-0.270659335665923,-0.280779593006593,-0.582252316992762,-0.555539403630549,0.284151438170941
"58",-0.357447134147895,-0.021133330629131,0.352913337095212,0.30151125740223,0.25392478425628,-0.0756263466982126,-0.589478063540091,-0.840673702899981,-0.186194437442236,-0.00463642686036703,-0.163834855882814,-0.246032871274172,-0.580500395125099,-0.641383009518621,0.197366616376354
"59",-0.303213891190281,-0.182886945183896,0.128372530859507,1.23040585263892,0.762762398797695,-0.124432314876016,-0.593964718973474,-0.751355482262086,-0.209415570667591,-0.0255768516574894,-0.00777613697964097,-0.227473191698939,-0.529130953672562,-0.547483916203181,0.194439418611663
"60",-0.310952425113605,0.0529254824098764,0.138115090644938,0.445877528704212,0.694762548308326,-0.00485250637596835,-0.357624950727625,-0.849588548143836,-0.172308981265886,-0.0127022690121623,-0.0833679668225886,-0.224463920277603,-0.524892322818757,-0.6223183418315,0.154645571583682
"61",-0.33480542123096,0.0564196139903936,0.22296994167788,0.256587140413705,1.07140358242373,0.00870217554388586,-0.378286301986244,-0.877729011611856,-0.176294287651195,0.0523022522868783,0.00766059416775966,-0.200592153960026,-0.540694712521615,-0.593853645909172,0.132756424513233
"62",-0.282671162342625,0.112406800650144,0.246780676176214,0.668626181810466,0.557749637611795,0.0362070054973991,-0.210011251537275,-0.837072788938168,-0.153765234757028,0.0643329030298401,0.0497724820565719,-0.23503982750139,-0.477888853677507,-0.584534477755011,0.11400677425782
"63",-0.30955849308063,0.334934118119195,0.340175596098546,0.631627963170847,1.29529501043446,0.0965271916073802,-0.158542567899031,-0.867803180051876,-0.171824045220664,0.0645632699586445,-0.0977863075859152,-0.16616889297319,-0.504551286788168,-0.562358788974244,0.152703553939
"64",-0.273197686670256,0.0374806716466602,0.188596943662597,0.53354791543976,0.468641632814822,0.107386128057809,-0.258168333006602,-0.812895474569484,-0.102864645500115,0.030471943515423,-0.0640605398405577,-0.194377218887596,-0.475662154017638,-0.531011267042748,0.148436259723766
"65",-0.285196570378071,-0.015191764015578,0.00701242987569706,0.518124248249773,0.50660340055358,0.13200192957067,-0.238303775636462,-0.828036042269788,-0.144902603664416,0.00731508313873208,0.053133690627474,-0.155470989939014,-0.471399721996379,-0.448162078593351,0.192674369828012
"66",-0.330377130432916,0.0347885239641039,0.180099034632738,0.291628869296321,0.648918507062108,-0.0275767043800579,-0.355003320148971,-0.853367265348935,-0.21863329666557,0.0275229357798135,-0.0225771556881305,-0.187226516173887,-0.491012175041167,-0.535072623390926,0.157487788961616
"67",-0.412654823412836,-0.0048424702576636,0.0503643654866084,0.554581781634028,0.565472927705705,-0.0828783045899336,-0.396380003059609,-0.861600483773433,-0.373707364451807,-0.0496800903274401,-0.260148600478287,-0.265242663198111,-0.613388966267553,-0.425094031131086,0.105949053112328
"68",-0.334026652654315,0.27921956200071,0.113109023692045,1.0212972950109,0.180233571553077,-0.102267759043472,-0.498497857237529,-0.835369406761467,-0.185135946479114,-0.116258533885129,0.159488021926863,-0.133704470548469,-0.457488726548436,-0.497164067901278,0.166168838046817
"69",-0.353279489260997,0.101683546850889,-0.0203726124879604,0.60598355545164,0.68718251624336,-0.0427258777200544,-0.351781530822754,-0.866702617288905,-0.209037865736508,-0.0337878197636683,-0.105233955982984,-0.201559412236592,-0.49761049183534,-0.482597683485584,0.185334861761448
"70",-0.268263677730384,-0.00284558420186276,0.127034516855098,0.346125946733989,0.984871072828659,0.00735077918259397,-0.263975828618187,-0.823715880839936,-0.169325901657946,-0.00718079235433888,0.161736610982846,-0.164044286202021,-0.403196886067061,-0.443611740869345,0.214183186561663
