"","ID","B05001_001E","B05001_002E","B05001_003E","B05001_004E","B05001_005E","noncit","GEO_ID","NAME"
"216","25025180200",4324,3741,26,103,341,113,"1400000US25025180200","Census Tract 1802, Suffolk County, Massachusetts"
"217","25025180301",2796,2664,0,5,52,75,"1400000US25025180301","Census Tract 1803.01, Suffolk County, Massachusetts"
"218","25025180400",2066,1740,49,21,184,72,"1400000US25025180400","Census Tract 1804, Suffolk County, Massachusetts"
"219","25025180500",4310,3511,101,32,437,229,"1400000US25025180500","Census Tract 1805, Suffolk County, Massachusetts"
"220","25025980101",434,342,18,18,5,51,"1400000US25025980101","Census Tract 9801.01, Suffolk County, Massachusetts"
"221","25025980300",366,333,7,0,20,6,"1400000US25025980300","Census Tract 9803, Suffolk County, Massachusetts"
"222","25025980700",0,0,0,0,0,0,"1400000US25025980700","Census Tract 9807, Suffolk County, Massachusetts"
"223","25025980900",0,0,0,0,0,0,"1400000US25025980900","Census Tract 9809, Suffolk County, Massachusetts"
"224","25025981000",0,0,0,0,0,0,"1400000US25025981000","Census Tract 9810, Suffolk County, Massachusetts"
"225","25025981100",146,125,13,0,8,0,"1400000US25025981100","Census Tract 9811, Suffolk County, Massachusetts"
"226","25025981201",0,0,0,0,0,0,"1400000US25025981201","Census Tract 9812.01, Suffolk County, Massachusetts"
"227","25025981202",210,201,0,0,9,0,"1400000US25025981202","Census Tract 9812.02, Suffolk County, Massachusetts"
"228","25025981300",5,5,0,0,0,0,"1400000US25025981300","Census Tract 9813, Suffolk County, Massachusetts"
"229","25025981501",0,0,0,0,0,0,"1400000US25025981501","Census Tract 9815.01, Suffolk County, Massachusetts"
"230","25025981502",0,0,0,0,0,0,"1400000US25025981502","Census Tract 9815.02, Suffolk County, Massachusetts"
"231","25025981600",0,0,0,0,0,0,"1400000US25025981600","Census Tract 9816, Suffolk County, Massachusetts"
"232","25025981700",0,0,0,0,0,0,"1400000US25025981700","Census Tract 9817, Suffolk County, Massachusetts"
"233","25025981800",33,22,0,0,11,0,"1400000US25025981800","Census Tract 9818, Suffolk County, Massachusetts"
"234","25025981900",0,0,0,0,0,0,"1400000US25025981900","Census Tract 9819, Suffolk County, Massachusetts"
"235","25025990101",0,0,0,0,0,0,"1400000US25025990101","Census Tract 9901.01, Suffolk County, Massachusetts"
