GEOID,NAME,variable,estimate,moe,geometry
25025100400,"Census Tract 1004, Suffolk County, Massachusetts",B05001_006,426,200,"list(list(c(-71.07796, -71.075253, -71.075736, -71.076027, -71.076209, -71.076257, -71.076631, -71.07227, -71.071541, -71.071177, -71.066696, -71.064303, -71.064787, -71.065322, -71.06592, -71.069501, -71.071015, -71.072774, -71.074728, -71.078891, -71.07796, 42.27905, 42.27968, 42.281038, 42.281806, 42.282909, 42.28316, 42.283775, 42.284631, 42.284497, 42.285348, 42.28513, 42.285699, 42.283999, 42.282054, 42.279928, 42.278813, 42.278314, 42.278073, 42.278133, 42.278567, 42.27905)))"
25025010104,"Census Tract 101.04, Suffolk County, Massachusetts",B05001_006,634,177,"list(list(c(-71.100564, -71.097168, -71.097626, -71.098182, -71.094992, -71.093191, -71.091256, -71.089862, -71.089497, -71.0893, -71.08871, -71.088651, -71.087916, -71.089636, -71.092272, -71.092871, -71.098115, -71.099802, -71.101143, -71.100564, 42.347918, 42.348982, 42.349983, 42.350735, 42.35057, 42.35098, 42.351238, 42.351576, 42.350848, 42.350459, 42.349252, 42.349131, 42.347461, 42.347644, 42.347629, 42.347643, 42.347637, 42.347651, 42.347758, 42.347918)))"
25025010408,"Census Tract 104.08, Suffolk County, Massachusetts",B05001_006,314,97,"list(list(c(-71.097412, -71.094644, -71.094611, -71.096493, -71.097412, 42.343694, 42.344549, 42.34294, 42.341843, 42.343694)))"
25025010701,"Census Tract 107.01, Suffolk County, Massachusetts",B05001_006,214,87,"list(list(c(-71.08871, -71.086243, -71.084699, -71.085125, -71.083173, -71.080862, -71.080296, -71.07986, -71.079508, -71.083749, -71.085602, -71.087758, -71.087916, -71.088651, -71.08871, 42.349252, 42.34991, 42.350297, 42.351144, 42.351651, 42.352267, 42.351121, 42.350304, 42.349508, 42.34838, 42.347884, 42.3473, 42.347461, 42.349131, 42.349252)))"
25025070103,"Census Tract 701.03, Suffolk County, Massachusetts",B05001_006,28,48,"list(list(c(-71.062451, -71.061193, -71.059508, -71.059401, -71.057722, -71.057485, -71.058789, -71.060213, -71.060705, -71.063039, -71.062451, 42.346985, 42.34793, 42.351149, 42.348769, 42.348182, 42.347658, 42.346157, 42.346195, 42.346253, 42.34685, 42.346985)))"
25025170504,"Census Tract 1705.04, Suffolk County, Massachusetts",B05001_006,522,356,"list(list(c(-71.000172, -70.995651, -70.993495, -70.991149, -70.988612, -70.9868150009499, -70.987694, -70.9905596943417, -70.990595, -70.992408, -70.992686, -70.993536, -70.993003, -70.993608, -70.994353, -70.998675, -71.000172, 42.409624, 42.415816, 42.418615, 42.418685, 42.418754, 42.4180612538438, 42.416696, 42.4072148092754, 42.407098, 42.407238, 42.407202, 42.40858, 42.41249, 42.412704, 42.412239, 42.410681, 42.409624)))"
25025070301,"Census Tract 703.01, Suffolk County, Massachusetts",B05001_006,215,145,"list(list(c(-71.075253, -71.073531, -71.072692, -71.069111, -71.068193, -71.068503, -71.069855, -71.070205, -71.071584, -71.071863, -71.072002, -71.072746, -71.074872, -71.075253, 42.345884, 42.347262, 42.347931, 42.347945, 42.347866, 42.347602, 42.345266, 42.344864, 42.343976, 42.343833, 42.344122, 42.345657, 42.345105, 42.345884)))"
25025060604,"Census Tract 606.04, Suffolk County, Massachusetts",B05001_006,147,93,"list(list(c(-71.050039, -71.049595, -71.045566, -71.045564, -71.032422, -71.029795, -71.03408, -71.035987, -71.04557, -71.047636, -71.052188, -71.050039, 42.353855, 42.354497, 42.359733, 42.358246, 42.353091, 42.351789, 42.348267, 42.347703, 42.351705, 42.348963, 42.351121, 42.353855)))"
25025060603,"Census Tract 606.03, Suffolk County, Massachusetts",B05001_006,63,49,"list(list(c(-71.047636, -71.04557, -71.035987, -71.035134, -71.037451, -71.039493, -71.04062, -71.042081, -71.046084, -71.047636, 42.348963, 42.351705, 42.347703, 42.3466, 42.343214, 42.344487, 42.345221, 42.346167, 42.348255, 42.348963)))"
25025010103,"Census Tract 101.03, Suffolk County, Massachusetts",B05001_006,936,268,"list(list(c(-71.110732, -71.103268, -71.100244, -71.098182, -71.097626, -71.097168, -71.100564, -71.101143, -71.106854, -71.106702, -71.10657, -71.110936, -71.110732, 42.351819, 42.351075, 42.35087, 42.350735, 42.349983, 42.348982, 42.347918, 42.347758, 42.348759, 42.349433, 42.349912, 42.350446, 42.351819)))"
25025010801,"Census Tract 108.01, Suffolk County, Massachusetts",B05001_006,242,105,"list(list(c(-71.081595, -71.079464, -71.077575, -71.077357, -71.075219, -71.073464, -71.073302, -71.072564, -71.072055, -71.074401, -71.076583, -71.080862, -71.081595, 42.353704, 42.354275, 42.354876, 42.354938, 42.355507, 42.356121, 42.355812, 42.355439, 42.354655, 42.354022, 42.353425, 42.352267, 42.353704)))"
25025040100,"Census Tract 401, Suffolk County, Massachusetts",B05001_006,206,133,"list(list(c(-71.062786, -71.061873, -71.061235, -71.060492, -71.059718, -71.060008, -71.059326, -71.058033, -71.0578, -71.058353, -71.057936, -71.058251, -71.058666, -71.058443, -71.05766, -71.056107, -71.054995, -71.057141, -71.059795, -71.061079, -71.061885, -71.064207, -71.062786, 42.374493, 42.375951, 42.377154, 42.376923, 42.376649, 42.376072, 42.37583, 42.374405, 42.374197, 42.373706, 42.373169, 42.372589, 42.372383, 42.372116, 42.372228, 42.371508, 42.370697, 42.369982, 42.368767, 42.370578, 
42.371107, 42.37283, 42.374493)))"
25025110301,"Census Tract 1103.01, Suffolk County, Massachusetts",B05001_006,179,79,"list(list(c(-71.119282, -71.118143, -71.118172, -71.11726, -71.116587, -71.114402, -71.114432, -71.1139, -71.1134, -71.112628, -71.107947, -71.105401, -71.110697, -71.112232, -71.118909, -71.118817, -71.119549, -71.119282, 42.290235, 42.290157, 42.289883, 42.289864, 42.289111, 42.290649, 42.291572, 42.292482, 42.293118, 42.292191, 42.288616, 42.286718, 42.283463, 42.280214, 42.28496, 42.285501, 42.285511, 42.290235)))"
25025120500,"Census Tract 1205, Suffolk County, Massachusetts",B05001_006,223,69,"list(list(c(-71.108452, -71.105834, -71.104867, -71.104016, -71.102465, -71.101744, -71.100023, -71.102944, -71.104475, -71.106673, -71.105795, -71.105131, -71.106788, -71.108452, 42.322389, 42.322633, 42.322721, 42.322819, 42.322919, 42.322892, 42.322772, 42.319298, 42.317022, 42.317268, 42.318404, 42.319278, 42.321156, 42.322389)))"
